"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","655","Login không thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","961","Login thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","511","Login không thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","548","Login không thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","487","Login thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","5740","Login thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","605","Login thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","588","Login không thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","527","Login không thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","821","Login thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","487","Login không thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","1092","Login không thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","494","Login không thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
"","563","Login không thành công","tests","2026-06-28","passed","2026-06-28","","test_login","",""
